Gimli,Meriadoc,8.965418637070232e-09
Gimli,Goldberry,2.182864162243659e-12
Bilbo,Frodo,4.5809328916403387e-07
Bilbo,Sam,6.79028037806275e-08
Bilbo,Gandalf,2.3452522738748154e-07
Bilbo,Pippin,3.3004313632677283e-08
Bilbo,Merry,4.110059019655013e-08
Bilbo,Gollum,1.2206693320622327e-07
Bilbo,Gimli,1.538922384279347e-09
Bilbo,Legolas,1.4878180431704037e-09
Bilbo,Faramir,8.05486941489828e-10
Bilbo,Saruman,2.908845432892209e-09
Bilbo,Boromir,1.5758726618754786e-08
Bilbo,Théoden,4.882888835976315e-11
Bilbo,Strider,5.1212440200763395e-08
Bilbo,Elrond,1.9660952118352387e-07
Bilbo,Treebeard,3.6412254569451107e-10
Bilbo,Sauron,8.215348493654223e-10
Bilbo,Denethor,5.930158742111367e-11
Bilbo,Tom Bombadil,1.4273614400295628e-10
Bilbo,Sméagol,5.922992644845726e-10
Bilbo,Éomer,1.5169655276280011e-10
Bilbo,Galadriel,1.0898755349242319e-08
Bilbo,Isildur,4.059808795314753e-09
Bilbo,Butterbur,1.8971716145269672e-08
Bilbo,Shadowfax,4.4312086047074185e-11
Bilbo,Wormtongue,3.3208362299261445e-10
Bilbo,Elendil,3.3939559344442594e-09
Bilbo,Éowyn,5.384451692056293e-11
Bilbo,Peregrin,3.984428105267014e-08
Bilbo,Glóin,5.686181290497142e-08
Bilbo,Haldir,1.3594980234925373e-09
Bilbo,Mithrandir,1.0918170162821705e-10
Bilbo,Celeborn,1.5994300132316677e-09
Bilbo,Glorfindel,3.5001629074697277e-09
Bilbo,Shelob,1.0554064665342034e-10
Bilbo,Meriadoc,7.819764069387505e-09
Bilbo,Goldberry,1.920713257715668e-10
Legolas,Sam,1.9867158974431695e-08
Legolas,Pippin,2.3668658755772405e-08
Legolas,Merry,8.296422064165357e-08
Legolas,Saruman,2.3469859377010926e-08
Legolas,Théoden,3.130730612070755e-08
Legolas,Strider,9.490599729320369e-08
Legolas,Treebeard,3.1081297655363716e-08
Legolas,Sauron,2.2231678855739068e-07
Legolas,Tom Bombadil,4.239074031048185e-12
Legolas,Sméagol,7.918253133830811e-10
Legolas,Éomer,3.4963877808422643e-07
Legolas,Shadowfax,5.0465344550035336e-08
Legolas,Wormtongue,1.7458658185914223e-09
Legolas,Éowyn,8.728766954157386e-09
